src,dst,time,type,color,weight
account.66194937b6c34bf69ff4c4dfbfba9df3,account.ee981750b0be495f9e2ff44a4d2a3a81,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.1a24d8e67cf64c1b983e712b34270e92,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.779aad0a652841daa628735bfc67b09d,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.a806c9ca9ad844cc8d69ca6bc0154c88,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.96dd9a634a8a4d5c89e3ca9d3d924098,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.06bd8b8acc2a441cb18b1894b0dc87d3,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.98d6fdbf0bcb458498d1f380843a243e,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.d4d026ef459a4eebb0323fc8c44c7b3c,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.a9425256214049fcb06d725e6b42d09d,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.74d5de0af4354182a4e5df5a6900af8e,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.b6991efc04fe414ca35106d769cc41aa,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.f34e6fb6eb404012b09a6d26373a4536,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.893df9cf7ad240ff9ce607f12eaa64de,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.4666c1493ebc432498db6a3b482382d0,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.ff4fafbd7ec64d2f9abd41af70b6e0d4,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.e2240225e64d4729b9b6dd561b1e68e2,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.a5091d7cdaa147c487c7ffb59701a722,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.5ac8044b3a944065b378c9c7a1fda26c,2019-03-02T19:06:03.912+0000,1,3,20
account.66194937b6c34bf69ff4c4dfbfba9df3,account.223fd9c2d0ef46ac83acceb3299e5f7d,2019-03-02T19:06:03.912+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.66194937b6c34bf69ff4c4dfbfba9df3,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.97337689605f42be8a2db36be59bcb02,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.2f74ed87e4d54b25bf7fabb6abaa147c,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.e322cd38797f43cf9cd97aa1fc98a7ee,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.0f55c017b7174ec7b021da9a550da679,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.909dee6f4ffe418dbccf7844f87e5465,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.79e951da38174122a01b37d9e7981588,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.43e574c76d4d46568c52f0b334c9ccb3,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.5244f1dbb42044be841513aba30cabd4,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.85812751624d48258bbfabd2ee6c42f7,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.6050ba4a989e4497bb596cd1545fb33e,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.a5091d7cdaa147c487c7ffb59701a722,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.5ac8044b3a944065b378c9c7a1fda26c,2019-03-02T19:17:01.755+0000,1,3,20
account.cde4d069bed94003acf3b9df240c055e,account.223fd9c2d0ef46ac83acceb3299e5f7d,2019-03-02T19:17:01.755+0000,1,3,20
